'cl_Colectas_IdColectas','cl_Altitud','cl_Latitud','cl_Longitud','cl_Procedencia','cl_Municipio','cl_Distritos','cl_Nombre_region','cl_Nombre_estado','cl_Provincia_fisografica','cl_Area_Protegida','cl_Iluminacion','cl_Topografia','cl_Exposicion','cl_Suelo','cl_clima_Zona','cl_Ph','cl_Temperatura','cl_Textura','cl_Color','cl_Pedregosidad','cl_Abundancia_Zona','cl_Vegetacion_Zona'
128,0,0.0,0.0,,'Animas Trujano','Centro','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
129,0,0.0,0.0,,'Animas Trujano','Centro','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
130,0,0.0,0.0,,'Animas Trujano','Centro','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
131,0,0.0,0.0,,'Animas Trujano','Centro','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
132,0,0.0,0.0,,'Animas Trujano','Centro','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
133,0,0.0,0.0,,'Animas Trujano','Centro','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
134,0,0.0,0.0,,'Animas Trujano','Centro','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
135,0,0.0,0.0,,'Santa María Tlahuitoltepec','Mixe','Sierra Norte','Oaxaca',,,,,,,,,,,,,,
136,0,0.0,0.0,,'Santa María Tlahuitoltepec','Mixe','Sierra Norte','Oaxaca',,,,,,,,,,,,,,
137,0,0.0,0.0,,'Santa María Tlahuitoltepec','Mixe','Sierra Norte','Oaxaca',,,,,,,,,,,,,,
138,0,0.0,0.0,,'Santa María Tlahuitoltepec','Mixe','Sierra Norte','Oaxaca',,,,,,,,,,,,,,
140,0,0.0,0.0,,'sin_municipio','sin_distrito','sin_regiones','Oaxaca',,,,,,,,,,,,,,
141,0,0.0,0.0,,'Oaxaca de Juárez','Centro','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
142,0,0.0,0.0,,'Oaxaca de Juárez','Centro','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
143,0,0.0,0.0,,'Oaxaca de Juárez','Centro','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
144,0,0.0,0.0,,'San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
145,0,0.0,0.0,,'San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
146,0,0.0,0.0,,'San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
147,0,0.0,0.0,,'San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
148,0,0.0,0.0,,'San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
149,0,0.0,0.0,,'San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
