'cl_Colectas_copy1_IdColectas','cl_Personas_Recolectar','cl_Fecha_Inicio','cl_Fecha_Corte','cl_Fecha_Tratamiento','cl_Fecha_Embalaje','cl_Fecha_Extraccion','cl_Tipo_Extraccion','cl_Fecha_Carga_Envio','cl_Tipo_vehiculo','cl_Fecha_Llegada','cl_Fecha_Descarga','cl_Observaciones','cl_Nombre_Responsable_Tecnico','cl_Nombre_Responsable_operativo'
5561,2,,,,'2021-07-09','2021-07-09','Manual','2021-07-09','Camioneta Mitsubishi','2021-07-10','2021-07-10','El lugar donde se colectó la planta es un arroyo temporal','Geovanni Mtz',
5562,2,,,,'2021-07-09','2021-07-09','Manual/pala','2021-07-09','Camioneta Mitsubishi','2021-07-10','2021-07-10',,'Geovanni Mtz',
5563,1,,,,'2021-07-14','2021-07-14','Manual','2021-07-14','Camioneta 3ton','2021-07-17','2021-07-17','Se colecto ejemplar pequeño','Geovanni Mtz',
5564,2,,,,'2021-07-15','2021-07-15','Manual/pala','2021-07-15','Camioneta 3/4 Mitsubishi','2021-07-17','2021-07-17',,'Geovanni Mtz',
5565,2,,,,'2021-07-15','2021-07-15','Manual/barreta','2021-07-15','Camioneta 3/4 Mitsubishi','2021-07-17','2021-07-17','Se colectaron dos ejemplares','Geovanni Mtz',
5566,2,,,,'2021-07-15','2021-07-15','Manual','2021-07-15','Camioneta 3/4 Mitsubishi','2021-07-17','2021-07-17','Se colecto muestra y ejemplar','Geovanni Mtz',
5567,2,,,,'2021-07-15','2021-07-15','Manual/pala','2021-07-15','Camioneta 3/4 Mitsubishi','2021-07-17','2021-07-17','Se colecto muestra y ejemplar','Geovanni Mtz',
5568,1,,,,'2021-07-16','2021-07-16','Mecánico/serrucho','2021-07-16','Camioneta 3/4 Mitsubishi','2021-07-17','2021-07-17',,'Geovanni Mtz',
5569,2,,,,'2021-07-16','2021-07-16','Mecánica/serrucho','2021-07-16','Camioneta 3/4 Mitsubishi','2021-07-17','2021-07-17',,'Geovanni Mtz',
5570,2,,,,'2021-07-20','2021-07-20','Manual','2021-07-20','Camioneta 3/4 Mitsubishi','2021-07-24','2021-07-24',,'Geovanni Mtz',
